,Pull Date,Year,Month,Day,TODO,Lang,Barcode,V No.,File Type,File Path
3598,2006-12-11,2006,12,11,0000,US,00018530,V1,NV.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-11/2006-12-11_0000_US_00018530_V1_VHS23_MB22_E1_NV.mp4
3599,2006-12-11,2006,12,11,0000,US,00018529,V2,JB.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-11/2006-12-11_0000_US_00018529_V2_VHS18_MB27_H11_JB.mp4
3600,2006-12-11,2006,12,11,0000,US,00018522,V3,NV.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-11/2006-12-11_0000_US_00018522_V3_VHSP18_MB24_H1_NV.mp4
3602,2006-12-30,2006,12,30,0000,US,00018510,V3,GM.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-30/2006-12-30_0000_US_00018510_V3_VHSP20_MB23_H4_GM.mp4
3604,2006-12-08,2006,12,08,0000,US,Archive,V2,GG.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-08/2006-12-08_0000_US_Archive_V2_MB13_VHS14_H1_GG.mp4
3607,2006-12-08,2006,12,08,0000,US,00018523,V3,NV.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-08/2006-12-08_0000_US_00018523_V3_VHSP11_MB6_H8_NV.mp4
3608,2006-12-08,2006,12,08,0000,US,00018523,V3,JS.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-08/2006-12-08_0000_US_00018523_V3_VHS16_MB13_H15_JS.mp4
3609,2006-12-08,2006,12,08,0000,US,00018523,V3,TR.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-08/2006-12-08_0000_US_00018523_V3_VHS25_MB53_H38_TR.mp4
3611,2006-12-08,2006,12,08,0000,US,00018511,V2,JB.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-08/2006-12-08_0000_US_00018511_V2_VHS27_MB12_H5_JB.mp4
3612,2006-12-08,2006,12,08,0000,US,00018460,V1,JS.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-08/2006-12-08_0000_US_00018460_V1_VHS23_MB22_E1_JS.mp4
3622,2006-12-06,2006,12,06,0000,US,00018551,V3,NV.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-06/2006-12-06_0000_US_00018551_V3_VHS28_MB3_E3_NV.mp4
3624,2006-12-06,2006,12,06,0000,US,00018509,V2,NV.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-06/2006-12-06_0000_US_00018509_V2_VHS15_MB4_H12_NV.mp4
3629,2006-12-06,2006,12,06,0000,US,00018500,V1,DJ.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-06/2006-12-06_0000_US_00018500_V1_VHS23_MB22_E1_DJ.mp4
3637,2006-12-04,2006,12,04,0000,US,00018536,V2,NV.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-04/2006-12-04_0000_US_00018536_V2_VHS29_MB5_H7_NV.mp4
3639,2006-12-04,2006,12,04,0000,US,00018478,V3,CS.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-04/2006-12-04_0000_US_00018478_V3_VHSP14_MB21_H9_CS.mp4
3644,2006-12-03,2006,12,03,0000,US,00014629,V1,DJ.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-03/2006-12-03_0000_US_00014629_V1_VHS23_MB22_E1_DJ.mp4
3646,2006-12-14,2006,12,14,0000,US,00018393,V2,DB.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-14/2006-12-14_0000_US_00018393_V2_MB13_VHS14_H1_DB.mp4
3649,2006-12-07,2006,12,07,0000,US,00018683,V3,LA.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-07/2006-12-07_0000_US_00018683_V3_VHSP17_MB19_E4_LA.mp4
3651,2006-12-07,2006,12,07,0000,US,00018688,V1,LA.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-07/2006-12-07_0000_US_00018688_V1_VHSP6_MM3_E2_LA.mp4
3656,2006-12-07,2006,12,07,0000,US,00018686,V2,WR.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-12/2006-12-07/2006-12-07_0000_US_00018686_V2_VHS31_MB25_H13_WR.mp4
3662,2006-01-05,2006,01,05,0000,US,00000640,V3,BE.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-05/2006-01-05_0000_US_00000640_V3_M1_VHSP3_H3_JK_BE.mp4
3667,2006-01-05,2006,01,05,0000,US,00002654,V1,MS.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-05/2006-01-05_0000_US_00002654_V1_MB9_VHSP1_H5_MS.mp4
3668,2006-01-05,2006,01,05,0000,US,00000070,V2,MS.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-05/2006-01-05_0000_US_00000070_V2_MB2_VHS2_H8_MS.mp4
3669,2006-01-05,2006,01,05,0000,US,00000640,V3,AS.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-05/2006-01-05_0000_US_00000640_V3_VHS31_MB25_H13_AS.mp4
3670,2006-01-05,2006,01,05,0000,US,00002654,V1,BB.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-05/2006-01-05_0000_US_00002654_V1_VHSP17_M18_E13_BB.mp4
3673,2006-01-16,2006,01,16,0000,US,00001111,V3,BE.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-16/2006-01-16_0000_US_00001111_V3_VHSP25_MB27_H22_AD_BE.mp4
3674,2006-01-16,2006,01,16,0000,US,00002819,V1,CG.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-16/2006-01-16_0000_US_00002819_V1_MB5_VHS5_H7_CG.mp4
3680,2006-01-16,2006,01,16,0000,US,00000044,V2,SA.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-16/2006-01-16_0000_US_00000044_V2_VHS20_MB6_H8_SA.mp4
3681,2006-01-16,2006,01,16,0000,US,00002819,V1,HC.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-16/2006-01-16_0000_US_00002819_V1_VHS16_MB13_H15_HC.mp4
3682,2006-01-16,2006,01,16,0000,US,00000044,V2,JK.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-16/2006-01-16_0000_US_00000044_V2_MB15_VHS1_E2_JK.mp4
3684,2006-01-24,2006,01,24,0000,US,00000212,V3,JK.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-24/2006-01-24_0000_US_00000212_V3_MB8_VHS4_E1_JK.mp4
3691,2006-01-24,2006,01,24,0000,US,00002690,V2,DV.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-24/2006-01-24_0000_US_00002690_V2_VHS40_MB34_H28_DV.mp4
3692,2006-01-24,2006,01,24,0000,US,00000122,V1,JK.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-24/2006-01-24_0000_US_00000122_V1_MB5_VHS5_H7_JK.mp4
3693,2006-01-23,2006,01,23,0000,US,00000123,V1,JK.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-23/2006-01-23_0000_US_00000123_V1_MB10_VHS6_H12_JK.mp4
3695,2006-01-23,2006,01,23,0000,US,00002689,V2,CG.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-23/2006-01-23_0000_US_00002689_V2_MB3_VHS3_H9_CG.mp4
3697,2006-01-23,2006,01,23,0000,US,00000219,V3,CG.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-23/2006-01-23_0000_US_00000219_V3_MB8_VHS4_E1_CG.mp4
3704,2006-01-11,2006,01,11,0000,US,00000048,V2,BE.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-11/2006-01-11_0000_US_00000048_V2_M1_VHSP3_H3_JK_BE.mp4
3708,2006-01-11,2006,01,11,0000,US,00002667,V1,MS.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-11/2006-01-11_0000_US_00002667_V1_MB5_VHS5_H7_MS.mp4
3710,2006-01-11,2006,01,11,0000,US,00000048,V2,DV.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-11/2006-01-11_0000_US_00000048_V2_VHSP18_MB10_H24_DV.mp4
3712,2006-01-11,2006,01,11,0000,US,00000527,V3,CC.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-11/2006-01-11_0000_US_00000527_V3_VHS1_MB3_E3_CC.mp4
3714,2006-01-11,2006,01,11,0000,US,00000048,V2,GG.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-11/2006-01-11_0000_US_00000048_V2_MB13_VHS14_H1_GG.mp4
3716,2006-01-30,2006,01,30,0000,US,00000120,V1,CG.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-30/2006-01-30_0000_US_00000120_V1_MB5_VHS5_H7_CG.mp4
3721,2006-01-30,2006,01,30,0000,US,00003696,V2,CG.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-30/2006-01-30_0000_US_00003696_V2_MB3_VHS3_H9_CG.mp4
3724,2006-01-02,2006,01,02,0000,US,00007240,V3,BE.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-02/2006-01-02_0000_US_00007240_V3_VHS38_MB4_H31_KH_BE.mp4
3732,2006-01-02,2006,01,02,0000,US,00007240,V3,JK.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-02/2006-01-02_0000_US_00007240_V3_VHS1_MB3_E3_JK.mp4
3733,2006-01-02,2006,01,02,0000,US,00007243,V1,RL.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-02/2006-01-02_0000_US_00007243_V1_VHSP12_MB20_H17_RL.mp4
3738,2006-01-06,2006,01,06,0000,US,00000658,V3,JK.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-06/2006-01-06_0000_US_00000658_V3_MB8_VHSP5_EB1_JK.mp4
3739,2006-01-06,2006,01,06,0000,US,00002075,V2,GG.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-06/2006-01-06_0000_US_00002075_V2_MB9_VHSP1_H5_GG.mp4
3742,2006-01-06,2006,01,06,0000,US,00000658,V3,BE.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-06/2006-01-06_0000_US_00000658_V3_VHS47_MB8_H34_PZ_BE.mp4
3743,2006-01-06,2006,01,06,0000,US,00002666,V1,MS.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-06/2006-01-06_0000_US_00002666_V1_MB10_VHS6_H12_MS.mp4
3748,2006-01-06,2006,01,06,0000,US,00000658,V3,BE.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-06/2006-01-06_0000_US_00000658_V3_VHS42_MB6_H20_AS_BE.mp4
3761,2006-01-27,2006,01,27,0000,US,00003691,V2,CG.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-27/2006-01-27_0000_US_00003691_V2_MB6_VHS8_H10_CG.mp4
3763,2006-01-27,2006,01,27,0000,US,00000215,V3,CG.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-27/2006-01-27_0000_US_00000215_V3_M2_VHS10_H4_CG.mp4
3765,2006-01-27,2006,01,27,0000,US,00002676,V1,BB.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-27/2006-01-27_0000_US_00002676_V1_VHS25_MB53_H38_BB.mp4
3772,2006-01-27,2006,01,27,0000,US,00000215,V3,HC.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-27/2006-01-27_0000_US_00000215_V3_VHS51_MB22_H37_HC.mp4
3776,2006-01-20,2006,01,20,0000,US,00000226,V3,MS.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-20/2006-01-20_0000_US_00000226_V3_M2_VHS10_H4_MS.mp4
3780,2006-01-20,2006,01,20,0000,US,00001195,V1,JA.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-20/2006-01-20_0000_US_00001195_V1_MB2_VHS2_H8_JA.mp4
3783,2006-01-20,2006,01,20,0000,US,00002691,V2,CG.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-20/2006-01-20_0000_US_00002691_V2_MB6_VHS8_H10_CG.mp4
3784,2006-01-20,2006,01,20,0000,US,00000226,V3,BE.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-20/2006-01-20_0000_US_00000226_V3_VHS47_MB8_H34_DV_BE.mp4
3791,2006-01-20,2006,01,20,0000,US,00000132,V1,JK.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-20/2006-01-20_0000_US_00000132_V1_MB5_VHS5_H7_JK.mp4
3795,2006-01-18,2006,01,18,0000,US,00000136,V1,CG.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-18/2006-01-18_0000_US_00000136_V1_MB9_VHSP4_H5_CG.mp4
3796,2006-01-18,2006,01,18,0000,US,00002623,V2,GG.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-18/2006-01-18_0000_US_00002623_V2_MB7_VHS7_H11_GG.mp4
3797,2006-01-18,2006,01,18,0000,US,00000275,V3,JK.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-18/2006-01-18_0000_US_00000275_V3_MB1_VHS4_E1_JK.mp4
3800,2006-01-18,2006,01,18,0000,US,00000136,V1,PL.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-18/2006-01-18_0000_US_00000136_V1_VHS16_MB13_H15_PL.mp4
3803,2006-01-12,2006,01,12,0000,US,00000383,V3,JN.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-12/2006-01-12_0000_US_00000383_V3_VHS6_MB12_H5_JN.mp4
3807,2006-01-12,2006,01,12,0000,US,00000383,V3,DB.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-12/2006-01-12_0000_US_00000383_V3_VHS6_MB12_H5_DB.mp4
3810,2006-01-12,2006,01,12,0000,US,00002061,V2,GG.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-12/2006-01-12_0000_US_00002061_V2_MB13_VHS14_H1_GG.mp4
3811,2006-01-12,2006,01,12,0000,US,00002664,V1,MS.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-12/2006-01-12_0000_US_00002664_V1_MB2_VHS2_H8_MS.mp4
3814,2006-01-31,2006,01,31,0000,US,00003678,V2,CG.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-31/2006-01-31_0000_US_00003678_V2_M2_VHS10_H4_CG.mp4
3815,2006-01-31,2006,01,31,0000,US,00000161,V3,JK.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-31/2006-01-31_0000_US_00000161_V3_MB8_VHS4_E1_JK.mp4
3817,2006-01-31,2006,01,31,0000,US,00002677,V1,MS.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-31/2006-01-31_0000_US_00002677_V1_MB12_VHS13_H2_MS.mp4
3826,2006-01-03,2006,01,03,0000,US,00000672,V3,HC.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-03/2006-01-03_0000_US_00000672_V3_VHS35_MB41_H26_HC.mp4
3828,2006-01-03,2006,01,03,0000,US,00000672,V3,LS.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-03/2006-01-03_0000_US_00000672_V3_M1_VHSP3_H3_LS.mp4
3829,2006-01-03,2006,01,03,0000,US,00002041,V2,GG.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-03/2006-01-03_0000_US_00002041_V2_MB15_VHS1_E2_GG.mp4
3830,2006-01-03,2006,01,03,0000,US,00000143,V1,DB.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-03/2006-01-03_0000_US_00000143_V1_M2_VHS10_H4_DB.mp4
3831,2006-01-03,2006,01,03,0000,US,00000143,V1,CG.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-03/2006-01-03_0000_US_00000143_V1_MB5_VHS5_H7_CG.mp4
3837,2006-01-03,2006,01,03,0000,US,00002041,V2,KZ.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-03/2006-01-03_0000_US_00002041_V2_VHSP18_MB1_H24_KZ.mp4
3844,2006-01-09,2006,01,09,0000,US,00000547,V3,BE.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-09/2006-01-09_0000_US_00000547_V3_M1_VHSP3_H3_JK_BE.mp4
3848,2006-01-09,2006,01,09,0000,US,00002665,V1,MS.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-09/2006-01-09_0000_US_00002665_V1_MB7_VHS7_H11_MS.mp4
3849,2006-01-09,2006,01,09,0000,US,00000060,V2,JK.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-09/2006-01-09_0000_US_00000060_V2_MB2_VHS2_H8_JK.mp4
3851,2006-01-10,2006,01,10,0000,US,00002669,V1,DB.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-10/2006-01-10_0000_US_00002669_V1_MB1_VHS1_EB1_DB.mp4
3855,2006-01-10,2006,01,10,0000,US,00000049,V2,JK.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-10/2006-01-10_0000_US_00000049_V2_M1_VHS9_H3_JK.mp4
3856,2006-01-10,2006,01,10,0000,US,00002669,V1,DA.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-10/2006-01-10_0000_US_00002669_V1_VHS25_MB53_H38_DA.mp4
3860,2006-01-10,2006,01,10,0000,US,00000049,V2,JK.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-10/2006-01-10_0000_US_00000049_V2_MB7_VHS7_H11_JK.mp4
3864,2006-01-17,2006,01,17,0000,US,00000289,V3,DV.mp4,/mnt/rds/redhen/gallina/Rosenthal/2006/2006-01/2006-01-17/2006-01-17_0000_US_00000289_V3_VHS35_MB41_H26_DV.mp4
